x,depth,litho,contacts
179.0,27.0,0.0,
214.0,27.0,1.0,
5.0,28.0,0.0,
44.0,28.0,0.0,
115.0,28.0,0.0,
179.0,28.0,0.0,
214.0,28.0,1.0,
5.0,29.0,0.0,
43.0,29.0,0.0,
115.0,29.0,0.0,
179.0,29.0,0.0,
213.0,29.0,1.0,
5.0,30.0,0.0,
43.0,30.0,0.0,
115.0,30.0,0.0,
179.0,30.0,0.0,
213.0,30.0,1.0,
5.0,31.0,0.0,
43.0,31.0,0.0,
114.0,31.0,0.0,
179.0,31.0,0.0,
213.0,31.0,1.0,
5.0,32.0,0.0,
43.0,32.0,0.0,
114.0,32.0,0.0,
179.0,32.0,0.0,
213.0,32.0,1.0,
5.0,33.0,0.0,
42.0,33.0,0.0,
114.0,33.0,0.0,
179.0,33.0,0.0,
212.0,33.0,1.0,
5.0,34.0,0.0,
42.0,34.0,0.0,
114.0,34.0,0.0,
179.0,34.0,0.0,
212.0,34.0,1.0,
5.0,35.0,0.0,
41.0,35.0,0.0,1.0
42.0,35.0,0.0,
114.0,35.0,0.0,
179.0,35.0,0.0,
212.0,35.0,1.0,
5.0,36.0,0.0,
42.0,36.0,1.0,
113.0,36.0,0.0,
179.0,36.0,0.0,
212.0,36.0,1.0,
5.0,37.0,0.0,
41.0,37.0,1.0,
113.0,37.0,0.0,
179.0,37.0,0.0,
211.0,37.0,1.0,
5.0,38.0,0.0,
41.0,38.0,1.0,
113.0,38.0,0.0,
179.0,38.0,0.0,
211.0,38.0,1.0,
5.0,39.0,0.0,
41.0,39.0,1.0,
113.0,39.0,0.0,
179.0,39.0,0.0,
211.0,39.0,1.0,
5.0,40.0,0.0,
41.0,40.0,1.0,
113.0,40.0,0.0,
179.0,40.0,0.0,
209.0,40.0,1.0,1.0
211.0,40.0,1.0,
5.0,41.0,0.0,
40.0,41.0,1.0,
112.0,41.0,0.0,
179.0,41.0,0.0,
210.0,41.0,0.0,
5.0,42.0,0.0,
40.0,42.0,1.0,
112.0,42.0,0.0,
179.0,42.0,0.0,
210.0,42.0,0.0,
5.0,43.0,0.0,
40.0,43.0,1.0,
112.0,43.0,0.0,
179.0,43.0,0.0,
210.0,43.0,0.0,
5.0,44.0,0.0,
40.0,44.0,1.0,
112.0,44.0,0.0,
179.0,44.0,0.0,
210.0,44.0,0.0,
5.0,45.0,0.0,
39.0,45.0,1.0,
112.0,45.0,0.0,
179.0,45.0,0.0,
209.0,45.0,0.0,
5.0,46.0,0.0,
39.0,46.0,1.0,
111.0,46.0,0.0,
179.0,46.0,0.0,
209.0,46.0,0.0,
5.0,47.0,0.0,
39.0,47.0,1.0,
111.0,47.0,0.0,
179.0,47.0,0.0,
209.0,47.0,0.0,
5.0,48.0,0.0,
39.0,48.0,1.0,
111.0,48.0,0.0,
179.0,48.0,0.0,
209.0,48.0,0.0,
5.0,49.0,0.0,
38.0,49.0,1.0,
111.0,49.0,0.0,
179.0,49.0,0.0,
208.0,49.0,0.0,
5.0,50.0,0.0,
38.0,50.0,1.0,
111.0,50.0,0.0,
179.0,50.0,0.0,
208.0,50.0,0.0,
5.0,51.0,0.0,
38.0,51.0,1.0,
110.0,51.0,0.0,
178.0,51.0,0.0,
208.0,51.0,0.0,
5.0,52.0,0.0,
38.0,52.0,1.0,
110.0,52.0,0.0,
178.0,52.0,0.0,
208.0,52.0,0.0,
5.0,53.0,0.0,
37.0,53.0,1.0,
110.0,53.0,0.0,
178.0,53.0,0.0,
207.0,53.0,0.0,
5.0,54.0,0.0,
37.0,54.0,1.0,
110.0,54.0,0.0,
178.0,54.0,0.0,
207.0,54.0,0.0,
5.0,55.0,0.0,
37.0,55.0,1.0,
110.0,55.0,0.0,
177.0,55.0,0.0,1.0
178.0,55.0,0.0,
207.0,55.0,0.0,
5.0,56.0,0.0,
37.0,56.0,1.0,
109.0,56.0,0.0,
178.0,56.0,1.0,
207.0,56.0,0.0,
5.0,57.0,0.0,
36.0,57.0,1.0,
108.0,57.0,0.0,1.0
109.0,57.0,0.0,
178.0,57.0,1.0,
206.0,57.0,0.0,
5.0,58.0,0.0,
36.0,58.0,1.0,
109.0,58.0,1.0,
178.0,58.0,1.0,
205.0,58.0,0.0,1.0
206.0,58.0,0.0,
5.0,59.0,0.0,
36.0,59.0,1.0,
109.0,59.0,1.0,
178.0,59.0,1.0,
206.0,59.0,1.0,
5.0,60.0,0.0,
34.0,60.0,1.0,1.0
36.0,60.0,1.0,
109.0,60.0,1.0,
178.0,60.0,1.0,
206.0,60.0,1.0,
5.0,61.0,0.0,
35.0,61.0,1.0,
108.0,61.0,1.0,
178.0,61.0,1.0,
205.0,61.0,1.0,
5.0,62.0,0.0,
35.0,62.0,0.0,
108.0,62.0,1.0,
178.0,62.0,1.0,
205.0,62.0,1.0,
5.0,63.0,0.0,
35.0,63.0,0.0,
108.0,63.0,1.0,
178.0,63.0,1.0,
205.0,63.0,1.0,
5.0,64.0,0.0,
35.0,64.0,0.0,
108.0,64.0,1.0,
178.0,64.0,1.0,
205.0,64.0,1.0,
5.0,65.0,0.0,
34.0,65.0,0.0,
108.0,65.0,1.0,
178.0,65.0,1.0,
204.0,65.0,1.0,
5.0,66.0,0.0,
34.0,66.0,0.0,
107.0,66.0,1.0,
178.0,66.0,1.0,
204.0,66.0,1.0,
5.0,67.0,0.0,
34.0,67.0,0.0,
107.0,67.0,1.0,
178.0,67.0,1.0,
204.0,67.0,1.0,
5.0,68.0,0.0,
34.0,68.0,0.0,
107.0,68.0,1.0,
178.0,68.0,1.0,
204.0,68.0,1.0,
5.0,69.0,0.0,
33.0,69.0,0.0,
107.0,69.0,1.0,
178.0,69.0,1.0,
203.0,69.0,1.0,
5.0,70.0,0.0,
33.0,70.0,0.0,
107.0,70.0,1.0,
178.0,70.0,1.0,
203.0,70.0,1.0,
5.0,71.0,0.0,
33.0,71.0,0.0,
106.0,71.0,1.0,
178.0,71.0,1.0,
203.0,71.0,1.0,
5.0,72.0,0.0,
33.0,72.0,0.0,
106.0,72.0,1.0,
178.0,72.0,1.0,
203.0,72.0,1.0,
5.0,73.0,0.0,
32.0,73.0,0.0,
106.0,73.0,1.0,
178.0,73.0,1.0,
202.0,73.0,1.0,
5.0,74.0,0.0,
32.0,74.0,0.0,
106.0,74.0,1.0,
178.0,74.0,1.0,
202.0,74.0,1.0,
5.0,75.0,0.0,
32.0,75.0,0.0,
106.0,75.0,1.0,
178.0,75.0,1.0,
202.0,75.0,1.0,
5.0,76.0,0.0,
32.0,76.0,0.0,
105.0,76.0,1.0,
177.0,76.0,1.0,
202.0,76.0,1.0,
5.0,77.0,0.0,
31.0,77.0,0.0,
105.0,77.0,1.0,
177.0,77.0,1.0,
201.0,77.0,1.0,
5.0,78.0,0.0,
31.0,78.0,0.0,
105.0,78.0,1.0,
177.0,78.0,1.0,
201.0,78.0,1.0,
5.0,79.0,0.0,
31.0,79.0,0.0,
105.0,79.0,1.0,
177.0,79.0,1.0,
201.0,79.0,1.0,
5.0,80.0,0.0,
31.0,80.0,0.0,
105.0,80.0,1.0,
177.0,80.0,1.0,
201.0,80.0,1.0,
104.0,81.0,1.0,
177.0,81.0,1.0,
104.0,82.0,1.0,
177.0,82.0,1.0,
104.0,83.0,1.0,
177.0,83.0,1.0,
104.0,84.0,1.0,
177.0,84.0,1.0,
104.0,85.0,1.0,
177.0,85.0,1.0,
103.0,86.0,1.0,
177.0,86.0,1.0,
103.0,87.0,1.0,
177.0,87.0,1.0,
103.0,88.0,1.0,
177.0,88.0,1.0,
103.0,89.0,1.0,
177.0,89.0,1.0,
101.0,90.0,1.0,1.0
103.0,90.0,1.0,
177.0,90.0,1.0,
102.0,91.0,1.0,
177.0,91.0,1.0,
102.0,92.0,0.0,
177.0,92.0,1.0,
102.0,93.0,0.0,
177.0,93.0,1.0,
102.0,94.0,0.0,
177.0,94.0,1.0,
102.0,95.0,0.0,
177.0,95.0,1.0,
101.0,96.0,0.0,
177.0,96.0,1.0,
101.0,97.0,0.0,
177.0,97.0,1.0,
101.0,98.0,0.0,
177.0,98.0,1.0,
101.0,99.0,0.0,
177.0,99.0,1.0,
101.0,100.0,0.0,
177.0,100.0,1.0,
176.0,101.0,1.0,
176.0,102.0,1.0,
176.0,103.0,1.0,
176.0,104.0,1.0,
176.0,105.0,1.0,
176.0,106.0,1.0,
176.0,107.0,1.0,
176.0,108.0,1.0,
175.0,109.0,1.0,1.0
176.0,109.0,1.0,
176.0,110.0,0.0,
176.0,111.0,0.0,
176.0,112.0,0.0,
176.0,113.0,0.0,
176.0,114.0,0.0,
176.0,115.0,0.0,
176.0,116.0,0.0,
176.0,117.0,0.0,
176.0,118.0,0.0,
176.0,119.0,0.0,
176.0,120.0,0.0,
176.0,121.0,0.0,
176.0,122.0,0.0,
176.0,123.0,0.0,
176.0,124.0,0.0,
176.0,125.0,0.0,
